City,Stringency_Jan,Stringency_Feb,Stringency_Mar,Workplaces_Jan,Workplaces_Feb,Workplaces_Mar,Residential_Jan,Residential_Feb,Residential_Mar,eFUA_ID,UC_num,UC_IDs,Commuting,Cntry_ISO,Cntry_name,FUA_area,UC_area,FUA_p_2015,UC_p_2015,Com_p_2015,med_pop,JanDec_negative,JanDec_neutral,JanDec_postitive,JanDec_negative_median,JanDec_neutral_median,JanDec_postitive_median,FebDec_negative,FebDec_neutral,FebDec_postitive,FebDec_negative_median,FebDec_neutral_median,FebDec_postitive_median,MarDec_negative,MarDec_neutral,MarDec_postitive,MarDec_negative_median,MarDec_neutral_median,MarDec_postitive_median,MarDec_neg_per,MarDec_neu_per,MarDec_pos_per
New York,0,5.793103448,45.77419355,0,-1.448275862,-35.16129032,0,0.517241379,14.32258065,7244,6,942;949;945;947;953;970,1,USA,UnitedStates,17489,6057,19523052.76,16668394.1,2854658.655,134.020752,38817,173823,41328,-6,0,9,42457,172052,39459,-7,0,9,55701,173836,24431,-10,0,8,0.22,0.68,0.10
Osaka [Kyoto],2.419354839,21.48275862,41.4516129,0,-1.965517241,-6.322580645,0,1.310344828,4.548387097,3956,2,12858;12888,1,JPN,Japan,10090,3202,17621765.59,15857216.39,1764549.199,382.149231,15585,73242,6821,-8,0,7,7901,72319,15428,-5,0,7,10230,72816,12602,-5,0,7,0.11,0.76,0.13
Paris,3.032258065,14.5862069,61.22580645,,-5,-42.29032258,,0.533333333,19.77419355,2702,2,2046;2071,1,FRA,France,6778,1662,11236407.13,9775034.136,1461372.991,114.6202469,19488,49118,8274,-10,0,5,9094,48471,19315,-6,0,11,5541,47494,23845,-5,0,11,0.07,0.62,0.31
Quezon City [Manila],3.096774194,23.75862069,64.77419355,0,0.206896552,-39.61290323,0,0.413793103,18.77419355,2845,14,12817;12819;12821;12824;12829;12840;12837;12847;12854;12855;12859;12860;12861;12866,1,PHL,Philippines,4873,2416,24958274.42,23260860.92,1697413.5,411.0619202,5095,43290,4895,-6,0,5,3409,42825,7046,-5,0,6,4781,42705,5794,-6,0,5,0.09,0.80,0.11
Rio de Janeiro,0.580645161,6,44.09677419,0,-4.931034483,-16.70967742,0,1.137931034,9.806451613,6961,4,1360;1361;1363;1368,1,BRA,Brazil,3598,1467,10814391.23,10190839.76,623551.4782,49.37496948,6557,19423,7185,-11,0,7,9431,19783,3951,-13,0,6,8190,19367,5608,-14,0,6,0.25,0.58,0.17
Riyadh,0.709677419,11,53.74193548,0,1.310344828,-18.5483871,0,0.724137931,11.80645161,3327,2,5698;5701,1,SAU,SaudiArabia,3239,1032,6299387.245,5726482.071,572905.1739,315.9467163,3899,11927,6116,-6,0,5,2313,9489,10140,-12,0,9,2403,8550,10989,-15,0,12,0.11,0.39,0.50
Rome,1.548387097,32.24137931,84.22580645,0,0.172413793,-48.80645161,0,-0.172413793,22.64516129,3881,4,2892;2895;2897;2912,1,ITA,Italy,2696,558,3501925.083,2617091.143,884833.9396,51.59827423,5165,11549,6735,-5,0,5,7325,11555,4569,-6,0,5,6211,10987,6251,-6,0,5,0.26,0.47,0.27
Santiago,0,0,32.70967742,0,-2,-16.12903226,0,0.551724138,12.67741935,2072,3,930;931;932,1,CHL,Chile,2923,745,7087659.555,6482495.773,605163.7819,73.26488495,4165,18927,3740,-8,0,5,3350,19207,4275,-7,0,4,3925,19157,3750,-8,0,5,0.15,0.71,0.14
São Paulo,0.580645161,6,44.09677419,0,-1.068965517,-14.74193548,0,0.827586207,9.419354839,6567,10,1300;1302;1303;1306;1308;1309;1310;1311;1317;1318,1,BRA,Brazil,6077,2329,21684522.82,20466943.82,1217578.992,58.65513611,15806,27243,6745,-11,0,6,20405,25759,3630,-15,0,5,14196,27709,7889,-8.5,0,8,0.29,0.56,0.16
Seoul,0.096774194,36,62.87096774,0,-1.793103448,-7.806451613,0,3.310344828,8.290322581,94,5,12389;12431;12453;12462;12477,1,KOR,SouthKorea,7053,2586,24287447.21,21941273.13,2346174.081,355.0871277,16567,25616,15873,-5,0,4,17897,23720,16439,-7,0,4,13557,24891,19608,-5,0,4,0.23,0.43,0.34
Shanghai,21.61290323,76.65517241,79.51612903,0,0,0,0,0,0,10097,7,12400;12406;12443;12455;12465;12471;12500,1,CHN,China,5878,3527,26920218.16,25105991.19,1814226.974,872.494751,19000,14530,12202,-9,0,5,21720,14076,9936,-11,0,5,15394,11699,18639,-10,0,6,0.34,0.26,0.41
Singapore,15,23.75862069,32.22580645,0,-1.75862069,-7.161290323,0,3.551724138,9.709677419,154,1,11498,1,SGP,Singapore,637,518,5602397.891,5594621.323,7776.568281,1371.830566,1523,1392,1420,-9,0,9,1104,1407,1824,-10,0,10,1301,1386,1648,-11,0,10,0.30,0.32,0.38
Tehran,0,4.482758621,46.70967742,0,0,0,0,0,0,4686,3,5736;5737;5738,1,IRN,Iran,3332,1417,13408679.7,12660172.98,748506.7182,644.2888184,6987,12327,11736,-8,0,8,5345,12688,13017,-6,0,9,3571,10714,16765,-9,0,12,0.12,0.35,0.54
Tokyo,2.419354839,21.48275862,41.4516129,0,-2.482758621,-10.87096774,0,1.551724138,7.032258065,5129,5,12962;12964;12966;12989;12995,1,JPN,Japan,11971,5582,36471786.91,33538533,2933253.909,723.1722412,27018,65377,13445,-7,0,5,20476,63938,21426,-7,0,5,15766,61526,28548,-6,0,7,0.15,0.58,0.27
Toronto,0.967741935,3,39.22580645,0,-2.172413793,-24.51612903,0,0.724137931,10.32258065,2626,4,875;881;893;899,1,CAN,Canada,8223,2251,7278248.435,6543842.13,734406.3053,16.31915283,8226,71750,34162,-9,0,14,12420,73857,27861,-9,0,11,32924,74596,6618,-16,0,9,0.29,0.65,0.06
Wuhan,21.61290323,76.65517241,79.51612903,0,0,0,0,0,0,8989,4,11549;11569;11613;11618,1,CHN,China,2682,917,8534060.737,7778940.624,755120.1131,426.8115234,8449,8355,4139,-15,0,5,6744,8589,5610,-10,0,7,8875,8541,3527,-11,0,6,0.42,0.41,0.17
Yangon,0,3,31.03225806,0,2.620689655,-6.451612903,0,0.896551724,6.451612903,4435,2,10248;10261,1,MMR,Myanmar,1321,540,6143161.518,5815715.331,327446.1868,598.8588867,1101,7057,1643,-3,0,4,1231,6670,1900,-6,0,6,637,6696,2468,-4,0,6,0.06,0.68,0.25
